subject_code,year,session,paper_number,variant,grade,min_mark
9702,2025,November,1,3,E,15
9702,2025,November,2,3,A,44
9702,2025,November,2,3,B,37
9702,2025,November,2,3,C,31
9702,2025,November,2,3,D,25
9702,2025,November,2,3,E,18
9702,2025,November,4,3,A,64
9702,2025,November,4,3,B,56
9702,2025,November,4,3,C,45
9702,2025,November,4,3,D,34
9702,2025,November,4,3,E,22
9702,2025,June,1,3,A,30
9702,2025,June,1,3,B,26
9702,2025,June,1,3,C,22
9702,2025,June,1,3,D,19
9702,2025,June,1,3,E,16
9702,2025,June,2,3,A,40
9702,2025,June,2,3,B,34
9702,2025,June,2,3,C,28
9702,2025,June,2,3,D,22
9702,2025,June,2,3,E,15
9702,2025,June,4,3,A,64
9702,2025,June,4,3,B,52
9702,2025,June,4,3,C,42
9702,2025,June,4,3,D,31
9702,2025,June,4,3,E,20
9702,2025,June,1,1,A,29
9702,2025,June,1,1,B,26
9702,2025,June,1,1,C,22
9702,2025,June,1,1,D,19
9702,2025,June,1,1,E,16
9702,2025,June,2,1,A,42
9702,2025,June,2,1,B,37
9702,2025,June,2,1,C,31
9702,2025,June,2,1,D,25
9702,2025,June,2,1,E,18
9702,2025,June,4,1,A,64
9702,2025,June,4,1,B,52
9702,2025,June,4,1,C,42
9702,2025,June,4,1,D,31
9702,2025,June,4,1,E,20
9709,2025,November,1,1,A,60
9709,2025,November,1,1,B,51
9709,2025,November,1,1,C,40
9709,2025,November,1,1,D,28
9709,2025,November,1,1,E,16
9709,2025,November,3,1,A,58
9709,2025,November,3,1,B,49
9709,2025,November,3,1,C,40
9709,2025,November,3,1,D,31
9709,2025,November,3,1,E,21
9709,2025,November,5,1,A,41
9709,2025,November,5,1,B,37
9709,2025,November,5,1,C,29
9709,2025,November,5,1,D,22
9709,2025,November,5,1,E,15
9709,2025,November,1,2,A,60
9709,2025,November,1,2,B,51
9709,2025,November,1,2,C,39
9709,2025,November,1,2,D,27
9709,2025,November,1,2,E,16
9709,2025,November,3,2,A,45
9709,2025,November,3,2,B,38
9709,2025,November,3,2,C,32
9709,2025,November,3,2,D,25
9709,2025,November,3,2,E,17
9709,2025,November,5,2,A,38
9709,2025,November,5,2,B,33
9709,2025,November,5,2,C,25
9709,2025,November,5,2,D,18
9709,2025,November,5,2,E,10
9709,2025,November,1,3,A,61
9709,2025,November,1,3,B,54
9709,2025,November,1,3,C,43
9709,2025,November,1,3,D,30
9709,2025,November,1,3,E,19
9709,2025,November,2,3,A,42
9709,2025,November,2,3,B,37
9709,2025,November,2,3,C,29
9709,2025,November,2,3,D,21
9709,2025,November,2,3,E,14
9709,2025,November,5,3,A,45
9709,2025,November,5,3,B,40
9709,2025,November,5,3,C,32
9709,2025,November,5,3,D,25
9709,2025,November,5,3,E,18
9709,2025,June,1,1,A,59
9709,2025,June,1,1,B,50
9709,2025,June,1,1,C,38
9709,2025,June,1,1,D,26
9709,2025,June,1,1,E,14
9709,2025,June,3,1,A,55
9709,2025,June,3,1,B,49
9709,2025,June,3,1,C,38
9709,2025,June,3,1,D,27
9709,2025,June,3,1,E,16
9709,2025,June,5,1,A,41
9709,2025,June,5,1,B,35
9709,2025,June,5,1,C,28
9709,2025,June,5,1,D,21
9709,2025,June,5,1,E,14
9709,2025,June,1,2,A,61
9709,2025,June,1,2,B,52
9709,2025,June,1,2,C,40
9709,2025,June,1,2,D,28
9709,2025,June,1,2,E,16
9709,2025,June,3,2,A,55
9709,2025,June,3,2,B,47
9709,2025,June,3,2,C,37
9709,2025,June,3,2,D,27
9709,2025,June,3,2,E,17
9709,2025,June,5,2,A,39
9709,2025,June,5,2,B,33
9709,2025,June,5,2,C,26
9709,2025,June,5,2,D,18
9709,2025,June,5,2,E,11
9709,2025,June,1,3,A,62
9709,2025,June,1,3,B,54
9709,2025,June,1,3,C,41
9709,2025,June,1,3,D,28
9709,2025,June,1,3,E,15
9709,2025,June,3,3,A,52
9709,2025,June,3,3,B,46
9709,2025,June,3,3,C,36
9709,2025,June,3,3,D,26
9709,2025,June,3,3,E,16
9709,2025,June,5,3,A,42
9709,2025,June,5,3,B,36
9709,2025,June,5,3,C,29
9709,2025,June,5,3,D,21
9709,2025,June,5,3,E,14
9709,2025,March,1,2,A,61
9709,2025,March,1,2,B,55
9709,2025,March,1,2,C,45
9709,2025,March,1,2,D,36
9709,2025,March,1,2,E,27
9709,2025,March,3,2,A,64
9709,2025,March,3,2,B,56
9709,2025,March,3,2,C,46
9709,2025,March,3,2,D,36
9709,2025,March,3,2,E,26
9709,2025,March,5,2,A,43
9709,2025,March,5,2,B,38
9709,2025,March,5,2,C,33
9709,2025,March,5,2,D,27
9709,2025,March,5,2,E,21
9709,2024,November,1,1,A,52
9709,2024,November,1,1,B,44
9709,2024,November,1,1,C,34
9709,2024,November,1,1,D,25
9709,2024,November,1,1,E,16
9709,2024,November,3,1,A,54
9709,2024,November,3,1,B,45
9709,2024,November,3,1,C,37
9709,2024,November,3,1,D,29
9709,2024,November,3,1,E,21
9709,2024,November,5,1,A,40
9709,2024,November,5,1,B,36
9709,2024,November,5,1,C,29
9709,2024,November,5,1,D,22
9709,2024,November,5,1,E,15
9709,2024,November,1,2,A,52
9709,2024,November,1,2,B,44
9709,2024,November,1,2,C,34
9709,2024,November,1,2,D,24
9709,2024,November,1,2,E,15
9709,2024,November,3,2,A,51
9709,2024,November,3,2,B,42
9709,2024,November,3,2,C,35
9709,2024,November,3,2,D,27
9709,2024,November,3,2,E,20
9709,2024,November,5,2,A,40
9709,2024,November,5,2,B,36
9709,2024,November,5,2,C,29
9709,2024,November,5,2,D,22
9709,2024,November,5,2,E,15
9709,2024,November,1,3,A,55
9709,2024,November,1,3,B,47
9709,2024,November,1,3,C,37
9709,2024,November,1,3,D,27
9709,2024,November,1,3,E,18
9709,2024,November,3,3,A,55
9709,2024,November,3,3,B,45
9709,2024,November,3,3,C,37
9709,2024,November,3,3,D,29
9709,2024,November,3,3,E,21
9709,2024,November,5,3,A,40
9709,2024,November,5,3,B,34
9709,2024,November,5,3,C,28
9709,2024,November,5,3,D,22
9709,2024,November,5,3,E,16
9709,2024,June,1,1,A,50
9709,2024,June,1,1,B,44
9709,2024,June,1,1,C,34
9709,2024,June,1,1,D,23
9709,2024,June,1,1,E,13
9709,2024,June,3,1,A,48
9709,2024,June,3,1,B,39
9709,2024,June,3,1,C,31
9709,2024,June,3,1,D,23
9709,2024,June,3,1,E,15
9709,2024,June,5,1,A,37
9709,2024,June,5,1,B,32
9709,2024,June,5,1,C,25
9709,2024,June,5,1,D,18
9709,2024,June,5,1,E,12
9709,2024,June,1,2,A,60
9709,2024,June,1,2,B,49
9709,2024,June,1,2,C,36
9709,2024,June,1,2,D,24
9709,2024,June,1,2,E,13
9709,2024,June,3,2,A,48
9709,2024,June,3,2,B,39
9709,2024,June,3,2,C,30
9709,2024,June,3,2,D,23
9709,2024,June,3,2,E,15
9709,2024,June,5,2,A,36
9709,2024,June,5,2,B,30
9709,2024,June,5,2,C,24
9709,2024,June,5,2,D,17
9709,2024,June,5,2,E,11
9709,2024,June,1,3,A,58
9709,2024,June,1,3,B,48
9709,2024,June,1,3,C,36
9709,2024,June,1,3,D,24
9709,2024,June,1,3,E,13
9709,2024,June,3,3,A,54
9709,2024,June,3,3,B,45
9709,2024,June,3,3,C,37
9709,2024,June,3,3,D,29
9709,2024,June,3,3,E,21
9709,2024,June,5,3,A,44
9709,2024,June,5,3,B,39
9709,2024,June,5,3,C,32
9709,2024,June,5,3,D,25
9709,2024,June,5,3,E,18
9709,2024,March,1,2,A,63
9709,2024,March,1,2,B,57
9709,2024,March,1,2,C,47
9709,2024,March,1,2,D,38
9709,2024,March,1,2,E,29
9709,2024,March,3,2,A,58
9709,2024,March,3,2,B,52
9709,2024,March,3,2,C,44
9709,2024,March,3,2,D,35
9709,2024,March,3,2,E,27
9709,2024,March,5,2,A,44
9709,2024,March,5,2,B,39
9709,2024,March,5,2,C,33
9709,2024,March,5,2,D,26
9709,2024,March,5,2,E,20
